scenario_id,prompt_style,turn,question,any_bias,leading,closed,anchoring,loaded,double_barreled,severity,rationale,neutral_rewrite
checkout_flow,bare,1,"Let's get started with the interview. I'll be taking notes and asking follow-up questions based on your responses.

Can you walk me through your typical online shopping experience, and how often do you shop online for yourself and for your family?",True,False,False,False,False,True,1,The question asks about two things at once: the typical online shopping experience and the frequency of shopping online for oneself and family.,Can you describe your typical online shopping experience?
checkout_flow,bare,2,"It sounds like you have a pretty busy schedule. 

How do you usually find out about the products or stores you're shopping from - do you get recommendations from friends, see ads online, or use a specific search engine or app?",True,False,False,True,False,False,1,"The question introduces specific methods of finding products, which could influence the participant's response.",How do you usually find out about products or stores when you're shopping online?
checkout_flow,bare,3,"It sounds like you're a pretty savvy online shopper.

When you're searching for a product, what factors do you consider most important when deciding whether to make a purchase from a particular website - for example, price, shipping speed, product reviews, or something else?",True,False,False,True,False,False,1,"The question provides examples of factors, which could shape the participant's response.",What factors do you consider when deciding whether to make a purchase from a particular website?
checkout_flow,bare,4,"It sounds like you're looking for a balance between price, convenience, and reliability.

Have you ever experienced a situation where you started to check out on a website, but then abandoned your cart because the checkout process was too slow or confusing - and if so, what specifically made you decide to leave the site?",True,True,False,True,False,True,2,"The question assumes the participant is looking for a balance between price, convenience, and reliability, and also asks about two things at once: experiencing a situation and the reasons for leaving the site.","Have you ever abandoned your cart during checkout? If so, what happened?"
checkout_flow,bare,5,"It sounds like you value simplicity and efficiency in the checkout process.

Have you ever noticed any websites that have a particularly streamlined or user-friendly checkout process - one that makes you feel like it's easy to complete your purchase and get on with your day?",True,True,False,False,False,False,2,The question assumes the participant values simplicity and efficiency in the checkout process.,Can you think of any websites with a checkout process that you found particularly easy to use?
checkout_flow,bare,6,"It sounds like Amazon and Walmart have done a good job of simplifying the checkout process for you.

Have you ever tried to use a mobile app to complete a purchase, and if so, what features do you think make an app checkout process more convenient for you than a traditional website checkout?",True,True,False,True,False,True,2,"The question assumes Amazon and Walmart have simplified the checkout process, and also asks about two things at once: trying to use a mobile app and the features that make it more convenient.","Have you used a mobile app to complete a purchase? If so, what did you like about the experience?"
checkout_flow,ux_guidelines,1,"Can you walk me through your typical online shopping experience, from browsing products to completing a purchase, and tell me about any challenges you've faced during this process?",True,False,False,False,False,True,1,"The question asks about both the typical experience and challenges, which could lead to a lengthy and potentially confusing response.","Can you describe a recent online shopping experience, focusing on one specific purchase?"
checkout_flow,ux_guidelines,2,"Have you ever had an experience where you started the checkout process, but then abandoned your cart before completing the purchase due to frustration or feeling like it was taking too long?",True,True,True,True,False,False,2,"The question assumes frustration or slow checkout as the reason for abandonment, which may not be the case for all participants.",Can you tell me about a time when you didn't complete a purchase after starting the checkout process?
checkout_flow,ux_guidelines,3,"Can you think of any specific moments or decisions that led you to choose the alternative site with a smoother checkout process, rather than trying to complete the purchase on the original site?",True,True,False,True,False,False,2,"The question assumes the participant chose an alternative site due to a smoother checkout process, which may not be the case.",What factors influence your decision to switch to a different website when shopping online?
checkout_flow,ux_guidelines,4,"Are there any specific features or functionalities that you've seen on other ecommerce sites that you wish were available on the site you were trying to use, but weren't?",False,False,False,False,False,False,0,The question is open-ended and allows the participant to share their genuine thoughts and experiences.,What features or functionalities have you encountered on other ecommerce sites that you found particularly useful?
checkout_flow,ux_guidelines,5,"Have you ever tried to create an account on a site, but then found that the process of creating an account was more complicated or time-consuming than you anticipated, and it ultimately led you to abandon your cart?",True,True,True,True,False,True,3,"The question is long, assumes a specific scenario, and asks about multiple things at once, which can be confusing for the participant.",What has been your experience with creating accounts on ecommerce sites?
checkout_flow,ux_guidelines,6,"Did you ever end up using the account you created on that site, or did you abandon it after the initial purchase?",True,False,True,False,False,False,1,The question is straightforward but could be improved by allowing for a more nuanced response.,What happened with the account you created on that site after your initial purchase?
checkout_flow,bias_guardrail,1,Can you walk me through your typical process when checking out on an ecommerce website?,False,False,False,False,False,False,0,This question is open-ended and allows the participant to share their genuine experience without any influence.,Can you describe your usual checkout process on ecommerce sites?
checkout_flow,bias_guardrail,2,What information do you usually check on the checkout page before proceeding with your order?,False,False,False,False,False,False,0,This question is straightforward and inquires about the participant's behavior without any bias.,What do you look for on the checkout page before completing your order?
checkout_flow,bias_guardrail,3,How do you typically handle unexpected charges or fees that you didn't anticipate when checking out?,False,False,False,False,False,False,0,This question explores the participant's reaction to a specific situation without influencing their response.,What do you do when you encounter unexpected costs during checkout?
checkout_flow,bias_guardrail,4,What factors influence your decision to contact customer support or to abandon the cart when you're unsure about charges or fees?,False,False,False,False,False,False,0,This question investigates the participant's decision-making process in a neutral manner.,What makes you decide to contact support or abandon your cart when you're unsure about costs?
checkout_flow,bias_guardrail,5,How do you usually perceive the time it takes to resolve an issue with customer support when you're checking out?,False,False,False,False,False,False,0,This question asks about the participant's perception of time without introducing any bias.,What's your experience with the time it takes for customer support to resolve issues during checkout?
checkout_flow,bias_guardrail,6,What do you think would make you more likely to wait for customer support to resolve an issue while you're checking out?,False,False,False,False,False,False,0,This question inquires about the participant's preferences without influencing their response.,What would make you more willing to wait for support to resolve an issue during checkout?
budgeting_app,bare,1,"Let's get started with the interview. I'm here to understand your thoughts and feelings about a new student budgeting app that can automatically categorize your spending. 

Here's my first question:

Have you ever used a budgeting or expense-tracking app before?",True,False,True,False,False,False,1,"The question is straightforward but can be answered with a simple yes or no, which might limit the participant's response.",What experience do you have with budgeting or expense-tracking tools?
budgeting_app,bare,2,"It can be overwhelming to set up and maintain a budgeting app.

Can you tell me more about what you mean by ""actual school stuff"" - is that referring to coursework, extracurricular activities, or something else?",False,False,False,False,False,False,0,The question is open-ended and seeks clarification on the participant's previous response.,Could you elaborate on what you meant by 'actual school stuff'?
budgeting_app,bare,3,"It sounds like you have a lot on your plate.

How do you currently keep track of your expenses, if you don't use a budgeting app?",False,False,False,False,False,False,0,The question is neutral and inquires about the participant's current behavior.,How do you currently manage your expenses?
budgeting_app,bare,4,"It can be challenging to keep track of all your expenses, especially the smaller ones.

Do you think there's anything that would make it more appealing to you to use a budgeting app, like this one that automatically categorizes your spending?",True,True,False,True,False,False,2,"The question assumes the participant finds tracking expenses challenging and introduces a specific feature of the app, which could influence their response.",What features or aspects of a budgeting app would be most appealing to you?
budgeting_app,bare,5,"It sounds like you're looking for a pretty seamless experience.

How important is it to you that the app provides personalized advice or recommendations for improving your spending habits, versus just tracking your expenses?",True,False,False,False,False,True,2,"The question asks about two distinct aspects of the app's functionality, which might confuse the participant or make it difficult to provide a clear response.",How important is it to you that a budgeting app provides personalized advice or recommendations for improving your spending habits?
budgeting_app,bare,6,"It sounds like you're looking for a more supportive approach.

Would you be more likely to use a budgeting app if you could customize the way it provides feedback or advice, so it's more tailored to your own goals and preferences?",True,True,True,True,False,False,3,"The question assumes the participant is looking for a supportive approach, introduces a specific feature, and can be answered with a simple yes or no, which could significantly influence the participant's response.",What role do you think customization should play in a budgeting app's feedback or advice?
